,composition
2658,Er2Mo3O12
2659,TlSe
2660,GaSe
2661,Ge0.1Si0.9
2662,Y2S3
2663,Ba3ZnTa2O9
2664,CuBS2
2665,Zn0.4Hg0.6Se
2666,Ta2O5
2667,Pb0.75Sn0.25Se
2668,Cu2ZnGeS4
2669,Cu0.2In1.8Se2.8
2670,AgS
2672,RbZrPSe6
2674,Zn3P2
2675,GeO2
2676,CdSe
2678,NdTe2
2679,NaSbS2
2681,Pb2GeSe4O12
2682,CsSmZnSe3
2685,Bi2SeI2O11
2686,CdP2
2687,Dy3Al0.5SiS7
2688,TlCr5S4Se4
2689,Nd2ZrS5
2690,MnTe
2692,Ga1.005Sb0.995Te0.015
2693,Ba3InS4Cl
2694,EuVO4
2695,CuGa3Se5
2696,Bi5O7I
2697,CsLaHgSe3
2698,Mg2Pb
2699,CdSe
2700,NaI
2702,TlSe
2703,ReSi2
2704,CdTe
2706,NaIn3S5
2707,TiC0.9
2708,KPbB5O9
2709,GaTe
2711,Cu0.4In1.6Se2.6
2712,ZnSnAs2
2713,BaS
2715,PbTe
2716,K2Au2SnS4
2717,TlBr
2720,AgO
2721,ZnO
2722,CdS
2723,Rb2TiCu2S4
2726,LiAlB14
2727,Ba3Sn0.87Bi2.13Se8
2729,Ce2Te3
2730,KCd4Ga5Se12
2731,EuGa2Te4
2732,PbBr2
2733,ScN
2734,Ba3Gd2P4S16
2737,Sm4GaSbS9
2738,Hg3ZnS2Cl4
2739,BeO
2740,Ga1.05Sb0.95Se0.15
2742,Na3WO4Cl
2743,GeAs2
2744,GaAs
2745,In0.01Al0.99P
2746,Ba4CuGa5Se12
2749,InAsI
2751,GaSb
2752,CuFeSe2
2753,Cu3ScSe3
2755,Hg0.8Zn0.2Te
2756,AlN
2757,SiAs
2758,In2Se3
2759,HgSc
2761,CdP4
2762,CdSnAs2
2764,NaYbP2S6
2765,GaN
2766,Rb3NaMo2O8
2767,BeS
2768,Ag7AsS6
2769,Ga2S3
2770,TlAsSe2
2771,Ag0.2Cd0.75In2.1Te4
2772,WSe2
2773,NdCuOS
2774,Zn0.99Cd0.01Se
2775,ZnB12O24H10
2776,CdTe
2777,CdS
2779,CaB6
2780,AgIn5S8
2782,V2O5
2783,CuBr
2784,Hg2Br2Te2
2785,ScNiSb
2786,BaGa2GeSe6
2787,Na2Te
2788,In4As5O12Br3
2790,TaN
2791,Na2Mo2Se2O11
2792,K4Ag9Sb4S12
2793,K2Gd2Sb2Se9
2794,RbBi3Se5
2795,RuSbTe
2797,BiI3
2799,ZnSiAs2
2801,ZnSe
2802,La2Ga0.33SbS5
2803,BaB2O4
2804,UO
2805,CuSbS2
2806,SmS
2808,ZnSe
2809,Cs4Zr3S14
2811,CaNd2S4
2812,CsSmZnSe3
2813,NaIn3Se5
2815,Hg0.01Zn0.99Te
2816,TlScSe2
2817,Sb2Te3
2818,Tl2O3
2819,CdGeAs2
2820,Mg2Sn
2821,SrPb3Br8
2822,CuFeS2
2823,KSbS2
2824,RbCl
2825,MnSb2Se4
2827,Na2TeSe3
2828,Cd3As2
2830,CsZrPSe6
2835,LiMgBi
2836,NaBiS2
2837,PbI2
2838,CdGeP2
2839,CoSb3
2840,InSe
2841,Bi25GaO39
2842,Ba12In4S19
2843,Cu0.1Ga1.9S2.9
2844,Bi7F11O5
2845,Zn0.01Cd0.99Se
2846,Sr4Te3O8Cl4
2847,BaIn2S4
2849,InSb
2850,BaTiO3
2851,SrGe2
2853,Cd4P2Cl3
2854,In0.98As0.98Cd0.02Te0.02
2855,GaSe
2857,WO3
2859,Ga0.5Al0.5As
2860,CuScO2
2861,Gd2O3
2862,InAs
2863,GaAs0.01P0.99
2865,IrS2
2866,MnI2
2867,In0.4Ga0.6P
2868,TlBr
2869,AlP
2870,Eu1.83Ta15O32
2871,Ga2Te3O9
2872,In2Se
2876,PrBN2
2877,Sr3Se3O8Cl
2878,LiBr
2880,Cs2Ga2Se5
2881,Cd3P2
2882,Zn3In2S6
2883,RbBi3Se5
2884,Pb0.9Ge0.1Se
2885,CuInSe2
2886,InAs
2887,Cu2Te3O8
2889,CuI
2890,Ba2InDyTe5
2892,CsSmHgSe3
2893,Ca3B2N4
2895,EuSb2BO8
2896,K4Hf3Se14
2897,ZnO
2898,NaCeS3
2900,Si2Te3
2901,LaTaN2O
3254,PbSbO2Br
3255,Ba2InNdSe5
3257,Rb2HgP2Se6
3258,KH3Se2O6
3259,AgBiP2Se6
3260,Ba2GaDySe5
3262,SiAs
3263,Zn0.99S0.99Ga0.01P0.01
3265,KBaAsSe3
3266,CsSbSe2
3268,CdP2S4
3269,BiSe
3270,NiC2N2
3272,OsAsS
3273,Rb6P3S15
3274,Er2O3
3275,RhSe2
3277,Nd3Te4
3278,Ge0.7Si0.3
3279,InSn2As2Se
3280,NaNbSe2O7
3282,In0.95As0.95Cd0.05Te0.05
3284,K6Yb3P5S20
3286,GeP
3287,Nd2Sn3Se9
3288,TlInSe2
3289,KBiS2
3290,SmCuOSe
3292,Ba2AsGaSe5
3293,Ta0.67Zr1.33O1.89N1.63
3294,CsDy9Cd4Se18
3295,InSb0.9As0.1
3296,AlN
3297,NdAs
3298,AgInCd2Te3
3299,In0.93As0.93Cd0.07Te0.07
3301,GeS2
3302,Ga0.01Sb0.01Cd0.99Te0.99
3303,Mg5B3O9F
3304,Al2Te3
3306,CsCeCdSe3
3307,RuP4
3309,InN
3310,LaSi2
3311,Ge0.06Si0.94
3312,KSb5S8
3314,AgI
3315,Hg0.6Cd0.4Se
3316,BaLa2In2Se7
3317,RbSbS2
3319,La2ZrS5
3320,MgGeN2
3321,Bi2Te2.97Se0.03
3322,Ba2Cu2ThSe5
3323,BaReH9
3324,Hg3Te2Bi2Cl8
3325,Ta1.33Zr0.67O0.12N3.03
3326,ZnSnAs2
3327,Bi2O3
3328,Pb0.8Ge0.2Te
3329,BiI3
3330,Pb0.92Sn0.08Te
3331,BiTeNO6
3332,MnSi
3333,K2PdSe10
3334,CsCuSb2S4
3335,Li6Fe2Te8O22
3336,CsAg2TeS6
3337,KAg11V4O16
3338,Ce2Se3
3340,La2MnNiO6
3341,GaAs0.7P0.3
3342,Li3PS4
3343,SrNd2S4
3344,Hg0.796Cd0.204Te
3346,HgGa2S4
3347,TlCr5S3Se5
3349,HgSe
3350,CdI2
3351,GeAs
3352,Li3Bi
3354,Rb3Sb2Br9
3355,SnO2
3356,LaS1.86Se0.14
3357,Ag2GeTe3
3358,Dy4S4Te3
3359,Ca2CdAs2
3361,TlAsS2
3362,P2Se3
3363,Ga0.8Al0.2P
3364,H6PtI6O20
3365,Li2In2SiS6
3367,SnCl2
3368,CsInGeS4
3369,Ba5Ga4Se10
3370,KSbSe2
3371,In0.3Ga0.7P
3372,Rb2Cu2Sn2Se6
3374,InSb0.6As0.4
3375,CdBr2
3376,CsLu7Se11
3377,Pb0.999Se0.999Sn0.001Se0.001
3378,Cs3W3PO13
3379,Lu2O3
3380,SrZrS3
3381,RbAg2SbS4
3382,Cd4Sb3
3383,Li2B6
3385,K2ZnTe2
3386,AgSbTe2
3387,Pb6B2MoO12
3388,Eu3P2
3390,AgGaGe3Se8
3391,CuAlS2
3392,Ba3Dy2P4S16
3393,CuZn2InSe4
3394,PdSe
3397,Cu0.05Ga1.95S2.95
3400,CuInSe2
3401,NaSbSe2
3404,Sb5O7I
3405,HgBrCl
3406,RbGaSnSe4
3407,Na3MoO4F
3410,Na3Sb
3411,TaGaSe2
3412,Cu2CdSnS4
3413,KBr
3415,PrTe1.9
3416,Hg3S2Bi2Cl8
3418,AgInTe2
3419,TlGaS2
3420,FeSi2
3421,Ba2InSmTe5
3422,SmB6
3423,Ga0.99In0.01As
3424,Rb2Sn3Sb2S10
3425,BiOBr
3426,Mn11Si19
3427,HgTe
3428,Ba4Ga2Se8
3429,Mg2Ge
3432,CoSbS
3433,Pb0.99TeTl0.01
3435,K3SmAs2S8
3436,EuAl2O4
3437,Cr2O3
3438,LiBr
3439,K3Ga3Ge7Se20
3440,Yb4Sb2S11.25
3441,Ca2Si
3442,Pb14B2O14Br6
3443,ReSe2
3444,DyTe1.45
3446,SbI3
3448,Cu0.05Ga1.95Se2.95
3449,Nd1.33Lu0.67S3
3450,LaIn3S6
3451,CsGaSn2Se6
3452,CsKP2Se8
3453,MgO
3454,SnTe
3455,CuCl
3456,IrP2
3458,YbGa2S4
3459,CuSmSe2
3460,InSb0.8As0.2
3462,Cd4P2Cl3
3463,SrCrO4
3465,Ag2S
3466,Ag3AsS3
3468,AgGaSe2
3469,AgSbSe2
3472,CdAs2
3473,CdGa2Se4
3474,CdP2
3477,CdSe
3478,CdTe
3480,CuGaSe2
3481,Dy2S3
3482,GaN
3483,GaS
3484,GaSe
3487,In4Te3
3489,InSe
3490,KI
3491,Mg3As2
3492,NaBiSe2
3493,PbS
3494,PbTe
3495,RbI
3496,Sb2S3
3497,SnS
3498,SnSe
3499,Tl2Te3
3500,TlCl
3501,TlSbS2
3502,Zn3As2
3503,ZnGeAs2
3504,ZnO
3506,Bi4PdSe4O12
3507,Cd3In2S2Te4
3508,SbSI
3509,Pb0.8Se0.8Ge0.2Te0.2
3510,Ag1.75InSb5.75Se11
3511,K2Dy2Ti3O10
3512,ZrS2
3513,CaTe
3516,Ir0.67S2
3517,Pb2MnO4
3518,GaSe
3519,SrZnSO
3520,Ge0.653Si0.347
3521,InAs
3522,Cu2Ta4O11
3523,K4GeS4
3524,Ge0.6Si0.4
3525,AsI3
3526,Mg2Sn
3527,K2CsSb
3528,Ho2Mo3O12
3529,Li4HgGe2S7
3530,BaGa2GeS6
3531,InP
3533,SiB3
3534,PbTe
3535,RbI
3536,KSbS2
3537,SbSeBr
3538,As2Se3
3539,CoSb2
3540,Hg0.8Cd0.2Se
3541,Cu2Te
3542,LiMgN
3544,Sb2O3
3546,PbTe
3547,NaBiS2
3548,Hg6P6In2Cl9
3549,GaS
3550,Sn3WO6
3551,TlBr
3553,InSb
3554,CdSnO3
3555,Pb0.8Se0.8Sn0.2Te0.2
3556,CuGaS2
3557,PrF3
3558,Ru2Ge3
3559,SmTe
3560,CsZn2B3O7
3561,Ga0.9Sb0.9Cd0.1Te0.1
3562,NH7Se2O6
3563,TlBr
3564,KPSe6
3565,ZnS
3566,Ga0.85Al0.15As
3567,GaAs
3568,Ga0.05P0.05Zn0.95Se0.95
3569,KFeCuTe2
3570,AsBr3
3571,Zn0.5Hg0.5Se
3573,Bi2S3
3574,TlBr
3575,ReS2
3576,CdMoSb4O10
3577,PbCl2
3579,As2O3
3580,InSb
3581,Na2BaGeS4
3582,Ba2GaDyTe5
3583,NaB15
3585,Bi2Te2.97Se0.03
3586,AgBiS2
3587,SnGa2GeS6
3589,NiTe
3591,Pr2YbCuS5
3592,KInSnS4
3595,La2O2MnSe2
3597,RbTbSe2
3598,Zn0.5Cd0.5Se
3599,Na2Ge2Se5
3600,PbCrO4
3601,Ag0.5Pb1.75GeS4
3602,CsEr9Cd4Se18
3603,CdCl2
3604,ReS2
3605,Cu3TaS4
3606,Pb0.99Sn0.01Se
3608,AgCd3PS6
3609,Cu3YTe3
3610,TlInSe2
3611,Bi2Te2.7Se0.3
3612,CuGaTe2
3614,Tl2PrInSe4
3615,Gd2ZrS5
3616,Pr2S3
3617,PbBiO2Br
3618,YbS
3619,K6Cd4Sn3Se13
3620,Pb0.75Ge0.25Te
3621,CdSb
3622,BeTe
3623,Pb0.96TeGa0.04
3626,LiH3Se2O6
3627,BaLa2In2S7
3628,Li3Cs2B5O10
3629,TlScS2
3630,InSe
3633,K2Ge4Se8
3635,ZnGeN2
3636,KAsSe2
3637,GaN
3638,Cu2Te
3639,Dy2Mo3O12
3640,Li2PtO3
3642,Si2Te3
3643,Eu2SnSe5
3644,Ba6Sn6Se13
3645,As2S6
3649,Cs3Sb2I9
3651,Ag0.5Pb1.75GeSe4
3652,Pr2S3
3653,Sr2V3Se5O18
3654,InSe
3655,Nd2HfS5
3656,Nb6VSb3O25
3657,TeSe3
3659,Sn2BiSI5
3660,Ag3SbS3
3661,TlS
3663,GaSb
3665,PtSb2
3666,AgGaGeS4
3669,InS
3673,InSb
3674,KBiS2
3675,Cs4In8GeSe16
3676,Tl6CuTe2O10
3677,InPS4
3678,BaCuTeF
3679,Ge0.2Si0.8
3680,Ba5In4Te4S7
3681,CsMn4In5Se12
3682,CuInSe2
3683,PbN6
3684,LiSbS2
3685,GeS
3686,AlSb
3687,Be3N2
3688,AlSb
3689,Cs39Cl6Ga53Se96
3690,Zn0.43Cd0.57Se
3691,Ag2SnS3
3692,AlP
3694,Cs3Bi2I9
3696,PbS
3699,Cu3SbS4
3701,CuYO2
3704,CdS
3705,Zn0.65Hg0.35Se
3707,V2O5
3708,NaF
3710,VTeO5H
3711,CdAs2
3713,CsI
3714,Yb2O3
3715,Ba2InCeTe5
3716,CdTe
3717,In0.2As0.2Ga0.8P0.8
3719,PbCuSbS3
3720,Ba2CdB6O12
3721,Sn2BiS2I3
3722,GeSe
3723,As2Te3
3725,GaN
3727,GaSb
3729,PbSe
3730,Ag2VI3O11
3731,GaN
3732,LiSbSe2
3733,InSb
3734,Cs2ZnSn3Se8
3735,Zn4Sb3
3737,Eu2Ga2GeS7
3739,AlP
3740,La2Sr2PtO7.13
3741,KCu3S2
3744,SnGe
3745,Hg0.9Cd0.1Se
3746,Cu2O
3747,CdCuSe2O6
3748,PbTe
3749,AgP15
3750,SmSb
3751,IrAs2
3752,PbTe0.5Se0.5
3753,KScSe2O6
3754,CdGeP2
3755,Cu2Ta4O11
3756,ReS2
3757,Pr4InSbSe9
3758,Cd0.6Te0.6Al0.4Sb0.4
3759,Cu2Ta11O30
3760,Tl2TeI6
3761,La10OSe14
3762,NaNO2
3765,Bi2Mo3O12
3766,Se0.2Te0.8
3767,Ga0.2Al0.8P
3768,Ag3SbS3
3769,InSb0.2As0.8
3770,ZnSe
3771,MnAl3
3772,InN
3773,TaGaS2
3774,CuBr
3775,MgSe
3777,BaTeMo2O9
3778,Mg3N2
3779,Ba2InSbSe5
3782,Cs2PtI6O18
3783,BiSI
3784,EuCu2SnS4
3785,GaSe
3786,Na2BaGeSe4
3787,ZnS
3788,Sr3GeSb2Se8
3789,K2Ho4Cu4S9
3790,La2CoTiO6
3791,In0.8Al0.2P
3792,Zn3As2
3794,Ga0.1P0.1Zn0.9Se0.9
3795,LiBi4Nb3O12
3796,K3Ga3Ge7S20
3798,TlCl
3799,TcS2
3800,SnO
3801,GaTe
3802,GaAs0.75Sb0.25
3803,BaIr2Ge4Se6
3804,KInTe2O6
3806,Mg2Sn
3808,Ga1.001Sb0.999Te0.003
3811,Gd6Ge2.5S14
3812,KZrPSe6
3814,Ag3SbS3
3815,MnTe
3817,Ag3AsS3
3820,AgGaSe2
3822,AlP
3823,AlP
3824,As2S3
3826,As2S3
3827,Bi0.6Te3Sb1.4
3828,CdAs2
3829,CdGa2Se4
3830,CdGa2Se4
3831,CdP2
3832,CdS
3833,CdSb
3835,CdSe
3837,CdTe
3838,CdTe
3839,CuFeS2
3840,CuGaSe2
3841,Dy2S3
3842,GaAs
3843,GaAs
3846,GaAs
3847,GaN
3849,GaS
3850,GaSe
3851,GaSe
3853,GaTe
3854,GeSe
3855,GeSe2
3856,In4Te3
3857,InAs
3858,InAs
3859,InAs
3860,InAs
3861,InSe
3862,InSe
3863,InSe
3864,InSe
3865,KI
3866,Mg3As2
3867,NaBiSe2
3868,PbS
3869,PbS
3870,PbTe
3871,RbI
3873,Sb2S3
3874,Sb2S3
3875,SnS
3876,SnS
3878,Tl2Te3
3879,Tl2Te3
3880,TlCl
3881,TlSbS2
3882,Zn3As2
3883,Zn3As2
3885,ZnO
3886,ZnS
3887,ZnS
3888,ZnSe
3889,ZnSnP2
3890,ZnTe
3891,ZnTe
3892,ZnTe
3893,ZnSe
3894,ZnSnP2
3895,ZnTe
3896,AgCNO.65
3897,Al13Ru4
3899,HoMg2
3900,UAl4
3903,NaZr2TiF11.12
3904,ScRh
3906,Li3VOF5.1
3907,Ti2ZnS4
3908,KV6O11
3909,ErMg2
3910,CsAs2Ru2
3911,In2Pt
3912,Rh3Pb
3914,Si2SbO6
3915,ReBiO3
3916,MgSc
3917,Cu10Sb3
3918,Ce2Ti2O7
3920,Re3P4
3921,TiPO4
3922,SrCd
3923,NbOsPb
3924,ZrGeRu
3925,Y2Ru2O7
3926,La2Rh7
3927,Hf4Al3
3928,Dy2TlCd
3929,SrNi5As3
3930,Cr2SbTe
3931,DyNiSn
3932,Zn2SnN2
3934,Dy5Sn3
3935,Yb2MgS4
3936,Mg2RhAu
3938,NdAu3
3940,Tl16O15F17
3941,DySi2Cu2
3942,Ga5Pd13
3943,CeTl3
3944,Ni3S4
3945,Sr2MgReO6.225
3946,NaLu(Pd3O4)2.200
3947,Na2Tl
3948,Tc3Pd
3949,Ce3Ta(ClO2)3.176
3950,BaAlCu4O7.186
3951,CrSiCu2
3952,Nd4MgRu
3953,Hf5CuPb3
3954,Lu2Mn12P7
3955,DyBiPt
3956,CrNiAs
3957,ZrMo3
3958,Cu4Pd
3959,Li2Ga
3960,La3B2N4
3962,Au3S
3963,RbCd13
3964,TbBa2IrO6.225
3965,Cu9O13
3967,SrV13O18
3968,NaNi2O3
3969,Th2CrN3
3972,Mg17Al11Pd
3973,EuZn
3974,ReRuOs
3975,Y2Ge5Ir3
3976,Zr3Ir
3977,Li4Cu(PO4)2.7
3979,Ni2Mo3N
3981,NaSi2Pd3
3982,Y3Ge4
3983,Mg2AgIr
3984,ThAl
3986,Sc2GaIr
3987,GdInIr
3989,LiGaAg2
3990,YbH3O3
3991,ThPSe
3992,SmAg
3993,Cr10Sb3Te7
